id,name,city,state_x,zip,holeCount,rating,latitude,longitude,Modified,Comments,state_y,zipcode,total_pop,total_income,country,avg_income,region
adventist-discovery-park,Adventist DISCovery Park,Opelika ,Alabama,36804,3,,32.6454116,-85.3782795,no,none,AL,36804,8240,417346,USA,50648.786407767,southeast
agape-disc-golf-course,Agape Disc Golf Course,Scottsboro ,Alabama,35769,9,,34.6228192,-86.0806919,no,none,AL,35769,4170,316625,USA,75929.25659472423,southeast
aggieland-disc-golf,Aggieland Disc Golf,Hamilton ,Alabama,35570,18,,34.1423235,-87.98864379999998,no,none,AL,35570,3930,174684,USA,44448.85496183206,southeast
agricultural-heritage-park,Agricultural Heritage Park,Auburn ,Alabama,36830,9,,32.5944595,-85.4923344,no,none,AL,36830,16600,1485585,USA,89493.07228915663,southeast
arab-city-park-844-shoal-creek-trail-35016,Arab City Park,Arab ,Alabama,35016,18,,34.31783529999999,-86.48182779999998,no,none,AL,35016,7210,385033,USA,53402.63522884882,southeast
asbury-umc-disc-golf-course,Asbury UMC Disc Golf Course,Madison ,Alabama,35758,9,,34.7345,-86.703071,no,none,AL,35758,21560,2066909,USA,95867.76437847863,southeast
dublin-park,Dublin Park,Madison ,Alabama,35758,9,2.0,34.709354600000005,-86.73516590000001,no,none,AL,35758,21560,2066909,USA,95867.76437847863,southeast
athens-state-university,Athens State University,Athens ,Alabama,35611,9,,34.8055801,-86.9645309,no,none,AL,35611,10330,514537,USA,49809.97095837367,southeast
sportsplex,Sportsplex,Athens ,Alabama,35611,19,4.0,34.8144585,-86.941128,no,none,AL,35611,10330,514537,USA,49809.97095837367,southeast
auburn-university-montgomery-aum,Auburn University Montgomery (AUM),Montgomery ,Alabama,36117,22,,32.3697457,-86.17665840000002,no,none,AL,36117,22550,1696025,USA,75211.75166297118,southeast
baker-high-school,Baker High School, Mobile ,Alabama,36608,9,,30.6695103,-88.25222149999998,no,none,AL,36608,15650,1313695,USA,83942.17252396166,southeast
langan-municipal-park,Langan Municipal Park,Mobile ,Alabama,36608,19,3.0,30.7062075,-88.1596322,no,none,AL,36608,15650,1313695,USA,83942.17252396166,southeast
municipal-red,Municipal Red Disc Golf Course,Mobile ,Alabama,36608,18,,30.6986962,-88.18445600000003,no,none,AL,36608,15650,1313695,USA,83942.17252396166,southeast
spring-hill-college-disc-golf-course,Spring Hill College Disc Golf Course,Mobile ,Alabama,36608,18,,30.6915278,-88.137679,no,none,AL,36608,15650,1313695,USA,83942.17252396166,southeast
university-south-alabama,University of South Alabama,Mobile ,Alabama,36608,18,,30.6959406,-88.184236,no,none,AL,36608,15650,1313695,USA,83942.17252396166,southeast
bowers-park,Bowers Park,Tuscaloosa ,Alabama,35405,18,4.0,33.1771041,-87.5113813,no,none,AL,35405,18530,928260,USA,50094.98111171073,southeast
brahan-springs-park,Brahan Springs Park,Huntsville ,Alabama,35805,18,3.0,34.7053182,-86.6003214,no,none,AL,35805,7820,218090,USA,27888.746803069054,southeast
calhoun-huntsville-campus-disc-golf-course,Calhoun Huntsville Campus Disc Golf Course,Huntsville ,Alabama,35805,6,,34.6824569,-86.6387445,no,none,AL,35805,7820,218090,USA,27888.746803069054,southeast
drake-springs,Drake Springs,Huntsville ,Alabama,35805,9,,34.7053182,-86.6003214,no,none,AL,35805,7820,218090,USA,27888.746803069054,southeast
mirabeau-apartments,Mirabeau Apartments,Huntsville ,Alabama,35805,9,,34.71293,-86.5957977,no,none,AL,35805,7820,218090,USA,27888.746803069054,southeast
